Id,Paso,Instruccion
[74133],1,"Lavar y desinfectar los vegetales para empezar a preparar los tacos, así como los instrumentos de cocina. En una tabla, pica finamente la cebolla blanca y ralla el ajo. Reserva estos ingredientes."
[74133],2,"Trocea las aceitunas con pimiento, pica el perejil y reserva. Corta la papa en cubos muy pequeños y cuécelo en una olla con agua hirviendo."
[74133],3,"Mientras hierven las papas, calienta el aceite en una sartén amplia y sofríe la cebolla y el ajo hasta que estén transparentes. Acto seguido, añade la carne molida, separándola todo lo que sea posible."
[74133],4,"Sofríe la carne hasta que adquiera un buen color. En este punto, agrega las aceitunas troceadas y deja que se cocine todo junto durante 5 minutos. Las aceitunas aportan a los tacos de carne molida un sabor increíble."
[74133],5,"Pasados los 5 minutos, incorpora el puré de tomate y revuelve muy bien la carne para que el tomate se integre bien al guiso. También puedes hacer tu propia salsa de tomate triturando tomates naturales sin piel."
[74133],6,Agrega las especias a la carne y salpimienta al gusto para que tus tacos de carne molida tengan el punto justo.
[74133],7,"Para este punto, las patatas ya deben estar cocidas, de manera que escúrrelas y agrégalas al guiso. Cocina todo junto durante 5 minutos para integrar los ingredientes."
[74133],8,"Prepara dos onzas de tequila blanco en un vaso y ten a mano un encendedor o cerillas. Agrega el tequila a la carne y flamea. Recuerda que flamear es peligroso, así que asegúrate de tener la campana de tu cocina apagada y tomar las precauciones necesarias. Si prefieres no flamear, puedes añadir el tequila y dejarlo cocer 5 minutos. Este paso lo puedes omitir si así lo deseas."
[74133],9,"Reduce la temperatura y tapa la sartén. Mientras se acaba de cocinar el relleno, prepara la salsa que acompañará a los tacos de carne molida, y que se conoce como ""pico de gallo"". Para ello, corta la cebolla y el tomate en cubos pequeños, corta el chile serrano por la mitad, retira las venas y las semillas y pícalo en cubos pequeños. Corta finamente un poco de cilantro y agrega todos los ingredientes en un tazón. Mezcla todo, añadiendo el aceite de oliva y el jugo de un limón."
[74133],10,"Es una sartén o comal, fríe las tortillas con apenas un poco de aceite de oliva o materia grasa. Si quieres, puedes hacer tus propias tortillas siguiendo la Receta de tortillas de maíz."
[74133],11,"Ya solo queda montar los tacos de carne molida. Así pues, en un plato, sirve tres tortillas y ponles la carne que has preparado. Coloca un poco de lechuga cortada en juliana fina en un bol, un poco de crema agria en otro recipiente y, por último, la salsa hecha con verduras picadas."
[74154],1,"Coloca la cebolla en una sartén caliente, agrega una pizca de sal y sofríela. Cuando la cebolla se torne transparente, agrega el chorizo y deja que se dore moviendo constantemente."
[74154],2,"Aparte, pon en el comal caliente las tortillas de harina y déjalas durante 5 segundos por lado para que se calienten antes de rellenarlas. Si quieres, puedes hacer tus propias tortillas siguiendo la Receta de tortillas de harina."
[74154],3,"Coloca las tortillas en una superficie y empieza a rellenarlas para formar los burritos norteños. Para ello, unta una cucharada generosa de frijoles molidos por toda la superficie."
[74154],4,"Añade el queso de hebra pero únicamente en un lado de la tortilla, tal y como se observa en la imagen."
[74154],5,"Toma el chorizo ya dorado con la cebolla y esparce una cucharada generosa sobre el queso. Finalmente, agrega la lechuga ya limpia, desinfectada y rebanada."
[74154],6,"Envolvemos los ingredientes con la tortilla de maíz formando una especie de taco, cuidando que las orillas queden selladas para que el relleno no se salga. Una vez cerrados los burritos norteños, colócalos en el comal para dorar la tortilla y gratinar el queso."
[74154],7,"¡Y listo!, ya puedes probar esta deliciosa preparación. Verás que la receta de burritos norteños mexicanos tiene muchísimo sabor y es muy fácil y rápida de hacer. Puedes servirlos con guacamole casero por encima, crema agria o una ensalada fresca."
[74146],1,"Nuestras sabias abuelas eran expertas en la cocina de aprovechamiento, una forma magistral de evitar tirar comida. Por ello, para esta receta de croquetas caseras de pollo puedes utilizar el pollo sobrante de algún cocido o puchero. Dicho esto, pica finamente la cebolla y trocea la pechuga de pollo ya cocida."
[74146],2,"Pon a calentar la mantequilla en una sartén y, una vez derretida, sofríe la cebolla removiendo de vez en cuando durante 3 minutos a fuego medio bajo. No dejes que se dore demasiado."
[74146],3,"Agrega sal, pimienta y nuez moscada y sigue removiendo para dejar que se sofría durante 2 minutos más. Eso sí, no dejes que se pegue la cebolla, es preferible que se haga lentamente para que suelte toda su agua y quede tierna pero no seca."
